Restaurant,Restaurant Type,Area,District,Start Day,Start Month,Start Year,base on District-# of ppl able to work>15 - 19,base on District-# of ppl able to work>20 - 24,base on District-# of ppl able to work>25 - 29,base on District-# of ppl able to work>30 - 34,base on District-# of ppl able to work>35 - 39,base on District-# of ppl able to work>40 - 44,base on District-# of ppl able to work>45 - 49,base on District-# of ppl able to work>50 - 54,base on District-# of ppl able to work>55 - 59,base on District-# of ppl able to work>60 - 64,base on District-# of ppl able to work>65+,base on Area #of worker location>15 - 19,base on Area #of worker location>20 - 24,base on Area #of worker location>25 - 29,base on Area #of worker location>30 - 34,base on Area #of worker location>35 - 39,base on Area #of worker location>40 - 44,base on Area #of worker location>45 - 49,base on Area #of worker location>50 - 54,base on Area #of worker location>55 - 59,base on Area #of worker location>60 - 64,base on Area #of worker location>65+,total Sales,payment type-cash,payment type-visa/master,payment type-others,#of transaction,sqf,mthly rent,Restaurant Type,Location Type,Restaurant Status
35,2,3,10,1,7,2018,4354,18173,29953,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,7135222.02,7132694.02,0,2528,147491,600,45000,2,2,0
36,4,5,19,31,12,2020,0,0,0,0,0,0,0,0,0,0,0,158,1785,4262,6054,7609,11002,14636,16180,14104,9460,7475,0,,,0,,650,80000,4,2,0
37,4,5,19,31,12,2020,0,0,0,0,0,0,0,0,0,0,0,158,1785,4262,6054,7609,11002,14636,16180,14104,9460,7475,0,,,0,,550,65000,4,2,0
38,4,5,19,31,12,2020,0,0,0,0,0,0,0,0,0,0,0,158,1785,4262,6054,7609,11002,14636,16180,14104,9460,7475,0,,,0,,600,100000,4,2,0
39,2,4,18,1,2,2019,3100,15088,27298,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,1538080,696034,805143,36903,6001,1000,63000,2,2,1
40,2,2,5,1,8,2019,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,8699690,8699690,0,0,70303,2350,168000,2,2,1
41,2,3,12,25,6,2019,3816,17730,27492,29204,29717,30267,29580,29932,25976,14760,6860,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,297634,297634,0,0,1467,410,40000,2,2,0
42,2,2,9,1,8,2019,3595,21808,35885,41212,39462,36801,36029,38640,33573,19023,9549,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,7658815,2702025,4463274,493516,7654,3410,80000,2,4,1
43,4,3,12,1,8,2019,3816,17730,27492,29204,29717,30267,29580,29932,25976,14760,6860,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,4161729,4161729,0,0,60485,768,55000,4,4,1
44,1,1,2,6,8,2019,764,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,1145535.99,796414.5,0,349121.49,23821,100,148000,1,2,1
45,5,2,5,6,8,2019,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,3058905,3058905,0,0,42383,2000,130000,5,2,0
46,1,4,18,12,8,2019,3100,15088,27298,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,1807454.67,664421.28,0,1143033.39,48162,600,50000,1,1,1
47,5,2,6,14,7,2019,3062,13572,23324,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,6924449.74,4547896.74,2224549,152004,49407,5130,118500,5,1,0
48,2,2,6,24,7,2019,3062,13572,23324,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,255266,255266,0,0,1354,897,72000,2,2,0
49,2,2,5,29,7,2019,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,0,0,0,0,0,500,25000,2,2,0
50,5,2,6,5,8,2019,3062,13572,23324,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,3788.1,1984.19,1804,-0.09,38,3000,120000,5,2,0
51,3,2,6,31,8,2019,3062,13572,23324,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,1108739,1108739,0,0,46956,1500,45000,3,3,1
52,4,1,3,22,9,2019,3380,16922,32334,37728,36941,34252,33867,39818,32962,17659,10510,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,7041651,6542321,354923,144407,60923,2000,75000,4,2,1
53,4,1,2,23,9,2019,764,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,418514.73,109252.83,189776.5,119485.4,315,380,100000,4,4,0
54,1,2,8,1,12,2019,3198,15234,23223,25025,24401,24369,24392,27059,23745,12812,5819,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,1265459.4,601558.5,29655,634245.9,20101,0,0,1,4,1
55,5,2,8,31,10,2019,3198,15234,23223,25025,24401,24369,24392,27059,23745,12812,5819,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,16832668.6,3772772.8,10256168.3,2803727.5,30314,0,0,5,4,1
56,5,3,11,26,10,2019,2505,11307,20104,21693,19033,21842,18984,20697,18175,9121,5325,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,14242324,14242174,0,150,30375,298,27000,5,2,0
57,3,2,9,6,9,2019,3595,21808,35885,41212,39462,36801,36029,38640,33573,19023,9549,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,3478435,2564326,0,914109,182872,400,67000,3,2,0
58,2,2,9,2,10,2019,3595,21808,35885,41212,39462,36801,36029,38640,33573,19023,9549,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,5730675.1,5730675.1,0,0,50607,350,40000,2,4,1
59,6,2,8,12,10,2019,3198,15234,23223,25025,24401,24369,24392,27059,23745,12812,5819,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,5840724.4,5840724.4,0,0,53276,1000,60000,6,2,1
60,3,2,9,31,10,2019,3595,21808,35885,41212,39462,36801,36029,38640,33573,19023,9549,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,303522,244817,4659,54046,3583,500,30000,3,4,1
61,2,2,6,18,10,2019,3062,13572,23324,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,827128,827128,0,0,2684,1558,71000,2,2,1
62,4,3,10,1,11,2019,4354,18173,29953,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,20878214,20878167,47,0,269494,1000,52998,4,2,1
63,6,1,4,23,10,2019,1958,7638,14489,18103,18217,17977,16847,18401,15068,8773,5860,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,1199156,1196754,0,2402,12949,600,40000,6,4,1
64,1,2,5,4,11,2019,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,6208001.4,3277164.4,2461688,469149,8163,6200,90000,1,4,1
65,5,2,9,17,11,2019,3595,21808,35885,41212,39462,36801,36029,38640,33573,19023,9549,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,1095434.8,926178.46,142921.4,26334.94,15800,2428,125000,5,2,0
66,3,2,6,25,2,2020,3062,13572,23324,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,681874.2,681145,0,729.2,20198,500,50000,3,2,1
67,4,2,5,31,3,2020,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,300970,840,243890,56240,843,649,66700,4,2,1
68,4,2,9,30,11,2019,3595,21808,35885,41212,39462,36801,36029,38640,33573,19023,9549,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,0,0,0,0,0,4993,162000,4,2,1
69,2,5,19,23,1,2020,0,0,0,0,0,0,0,0,0,0,0,158,1785,4262,6054,7609,11002,14636,16180,14104,9460,7475,985226,504656,174541,306029,4114,1000,150000,2,2,1
70,2,3,11,20,1,2020,2505,11307,20104,21693,19033,21842,18984,20697,18175,9121,5325,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,5796687.4,1326083.7,4298689.3,171914.4,20459,3500,50000,2,1,1
71,2,2,8,16,12,2020,3198,15234,23223,25025,24401,24369,24392,27059,23745,12812,5819,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,70580,70580,0,0,1400,2344,60000,2,1,1
72,3,2,5,9,12,2020,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,199704,199704,0,0,4499,400,40000,3,1,1
